epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,1298.46,0.65483,2.25272,0.07438,0.55929,0.8677,0.80675,0.58715,0.70222,0.51417,0.48693,0.35938,0.25671,0.09967,1.04089,4.87145,0.05062,1.30345,1.03664,0.0009704,0.0009704,0.0009704
28,1342.32,0.64594,2.22687,0.07547,0.55727,0.86915,0.84344,0.51562,0.66461,0.48375,0.45902,0.39062,0.29604,0.11124,1.0365,4.61986,0.05473,1.33347,1.0398,0.0009308,0.0009308,0.0009308
29,1386.75,0.63283,2.17472,0.07341,0.54744,0.86452,0.79141,0.5625,0.69317,0.50576,0.51632,0.34375,0.30002,0.11482,0.99437,4.50341,0.07809,1.55444,1.0103,0.0008912,0.0008912,0.0008912
30,1431.19,0.63574,2.17682,0.07646,0.55115,0.86268,0.78471,0.54688,0.68692,0.5124,0.48358,0.36587,0.31614,0.11722,1.08132,4.71471,0.0539,1.4863,1.05369,0.0008516,0.0008516,0.0008516
31,1475.4,0.62466,2.09967,0.07458,0.53305,0.86031,0.77937,0.54688,0.69321,0.49696,0.4967,0.34375,0.27114,0.11451,1.07808,4.75248,0.05171,1.43777,1.05462,0.000812,0.000812,0.000812
32,1520.35,0.61552,2.09978,0.07458,0.53211,0.85825,0.67453,0.68008,0.73081,0.53619,0.65584,0.4375,0.41083,0.14013,1.01775,4.69683,0.04156,1.16506,1.04873,0.0007724,0.0007724,0.0007724
33,1563.59,0.59866,2.07992,0.07048,0.51459,0.85247,0.81536,0.5625,0.70492,0.49917,0.59201,0.43086,0.39744,0.15356,1.05447,4.66293,0.07382,1.37626,1.04896,0.0007328,0.0007328,0.0007328
34,1608.28,0.62097,2.15818,0.06973,0.532,0.85817,0.79049,0.53059,0.6994,0.51204,0.56449,0.375,0.32912,0.12538,0.99862,4.6625,0.0587,1.37025,1.0135,0.0006932,0.0006932,0.0006932
35,1649.16,0.59868,2.07924,0.06858,0.5137,0.85621,0.82771,0.57812,0.68067,0.51387,0.67379,0.45186,0.43094,0.17628,1.00894,4.57465,0.06306,1.5398,1.0228,0.0006536,0.0006536,0.0006536
36,1693.42,0.58942,2.01993,0.07126,0.50179,0.85406,0.7473,0.60938,0.68623,0.50402,0.53276,0.37416,0.3292,0.12795,1.07281,4.7241,0.06603,1.40963,1.06795,0.000614,0.000614,0.000614
37,1738.06,0.59728,2.02738,0.07031,0.50642,0.85435,0.74777,0.64857,0.75619,0.5284,0.64623,0.4375,0.40725,0.15156,1.07448,4.40122,0.06142,1.13351,1.05054,0.0005744,0.0005744,0.0005744
38,2414.36,0.58636,1.98971,0.06981,0.49582,0.85161,0.80916,0.53125,0.66616,0.471,0.45521,0.32812,0.26459,0.1072,1.07317,4.85754,0.06288,1.46738,1.07852,0.0005348,0.0005348,0.0005348
39,2456.27,0.58835,1.96294,0.07162,0.49661,0.8522,0.76129,0.625,0.70754,0.51804,0.51034,0.42188,0.36131,0.14175,1.05715,4.53585,0.07348,1.39253,1.04593,0.0004952,0.0004952,0.0004952
40,2500.34,0.56388,1.90815,0.06855,0.47186,0.84589,0.7926,0.53125,0.69077,0.51653,0.56961,0.37229,0.32386,0.13587,1.0835,4.71907,0.05962,1.33485,1.0662,0.0004556,0.0004556,0.0004556
41,2565.37,0.55195,1.75578,0.04293,0.4787,0.84353,0.73534,0.52103,0.65883,0.47505,0.42421,0.29934,0.24174,0.11921,1.07746,4.69944,0.05346,1.63309,1.05657,0.000416,0.000416,0.000416
42,2605.88,0.53015,1.68055,0.04241,0.46117,0.83826,0.61401,0.57175,0.65472,0.47632,0.4692,0.33155,0.30027,0.12559,1.06113,4.63402,0.0552,1.54919,1.04355,0.0003764,0.0003764,0.0003764
43,2647.18,0.52733,1.59554,0.03623,0.44397,0.83676,0.65394,0.62011,0.69573,0.51234,0.43108,0.375,0.32347,0.15478,1.02907,4.5561,0.04473,1.3953,1.02396,0.0003368,0.0003368,0.0003368
44,2689.02,0.5148,1.59273,0.03963,0.43459,0.83625,0.67672,0.5,0.62855,0.48238,0.74838,0.29688,0.33136,0.14191,0.99206,4.61632,0.04815,1.67331,1.01118,0.0002972,0.0002972,0.0002972
45,2730.93,0.5084,1.5962,0.03797,0.43394,0.8312,0.66873,0.5,0.64997,0.48544,0.65659,0.29688,0.31027,0.12169,1.0249,4.68474,0.0475,1.60826,1.03349,0.0002576,0.0002576,0.0002576
46,2776.59,0.50654,1.52929,0.03468,0.42853,0.83569,0.6474,0.57382,0.65152,0.48072,0.52455,0.3448,0.33398,0.14535,1.07618,4.65626,0.04284,1.59594,1.04192,0.000218,0.000218,0.000218
47,2823.09,0.49057,1.51809,0.03714,0.41715,0.83129,0.70616,0.52577,0.66503,0.48733,0.54647,0.28125,0.26814,0.13348,1.05311,4.71742,0.04633,1.68925,1.0366,0.0001784,0.0001784,0.0001784
48,2869.07,0.48527,1.44842,0.03245,0.41237,0.82821,0.66051,0.54688,0.67113,0.4958,0.60116,0.35336,0.31844,0.14136,1.04393,4.69328,0.04798,1.56639,1.04599,0.0001388,0.0001388,0.0001388
49,2915.47,0.48323,1.4796,0.03755,0.4094,0.82811,0.65456,0.56254,0.65155,0.49206,0.59761,0.34375,0.34824,0.13897,1.0121,4.65263,0.04901,1.55733,1.02927,9.92e-05,9.92e-05,9.92e-05
50,2962.15,0.47044,1.44325,0.03263,0.40233,0.82632,0.67679,0.55627,0.67705,0.50574,0.66267,0.35938,0.34466,0.15137,1.00497,4.6147,0.04683,1.61528,1.01792,5.96e-05,5.96e-05,5.96e-05
