epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,1323.52,0.65483,2.25272,0.07438,0.55929,0.8677,0.29839,0.51003,0.37708,0.27308,0.24764,0.22923,0.17721,0.07576,1.33862,6.35183,0.0255,2.37509,1.18454,0.0009704,0.0009704,0.0009704
28,1370.2,0.64594,2.22687,0.07547,0.55727,0.86915,0.37819,0.56734,0.38454,0.2592,0.20969,0.17866,0.13167,0.04972,1.42192,6.222,0.02287,2.31259,1.24013,0.0009308,0.0009308,0.0009308
29,1417.15,0.63283,2.17472,0.07341,0.54744,0.86452,0.35757,0.3987,0.36246,0.25383,0.22752,0.21203,0.13249,0.05762,1.43337,6.44866,0.03779,2.87765,1.27013,0.0008912,0.0008912,0.0008912
30,1464.45,0.63574,2.17682,0.07646,0.55115,0.86268,0.25029,0.40688,0.26702,0.19816,0.21569,0.25501,0.11699,0.04227,1.33838,6.39739,0.02599,3.33396,1.13534,0.0008516,0.0008516,0.0008516
31,1520.35,0.62466,2.09967,0.07458,0.53305,0.86031,0.30689,0.50143,0.35642,0.25995,0.21927,0.33524,0.16492,0.06948,1.40936,6.26115,0.02375,2.63163,1.14762,0.000812,0.000812,0.000812
32,1569.91,0.61552,2.09978,0.07458,0.53211,0.85825,0.28336,0.58453,0.36141,0.2621,0.24825,0.19587,0.16414,0.05967,1.35253,6.49044,0.01879,2.42065,1.24143,0.0007724,0.0007724,0.0007724
33,1617.49,0.59866,2.07992,0.07048,0.51459,0.85247,0.39424,0.47851,0.34071,0.23056,0.24365,0.24069,0.11353,0.03965,1.36603,6.20029,0.03608,2.66134,1.20731,0.0007328,0.0007328,0.0007328
34,1665.16,0.62097,2.15818,0.06973,0.532,0.85817,0.25557,0.51003,0.29968,0.22951,0.23571,0.23782,0.1462,0.05089,1.2827,6.31477,0.02907,2.69267,1.15827,0.0006932,0.0006932,0.0006932
35,1713.31,0.59868,2.07924,0.06858,0.5137,0.85621,0.24477,0.3553,0.27968,0.20247,0.2106,0.22923,0.15851,0.06469,1.46921,6.19351,0.02224,3.22697,1.29209,0.0006536,0.0006536,0.0006536
36,4153.7,0.58942,2.01993,0.07126,0.50179,0.85406,0.27264,0.42316,0.26811,0.20374,0.19784,0.2808,0.13981,0.05612,1.33242,6.37528,0.0399,3.2458,1.16334,0.000614,0.000614,0.000614
37,4195.05,0.59728,2.02738,0.07031,0.50642,0.85435,0.24052,0.50143,0.2622,0.18212,0.25841,0.15186,0.10368,0.04361,1.40047,6.31069,0.05083,2.94142,1.18307,0.0005744,0.0005744,0.0005744
38,4239.9,0.58636,1.98971,0.06981,0.49582,0.85161,0.41605,0.5043,0.38011,0.28018,0.26475,0.28374,0.19588,0.08322,1.36266,6.18736,0.02461,2.87353,1.2685,0.0005348,0.0005348,0.0005348
39,4285.35,0.58835,1.96294,0.07162,0.49661,0.8522,0.34394,0.50716,0.35894,0.25879,0.22154,0.26074,0.15263,0.06973,1.40336,6.36194,0.02875,2.6993,1.2277,0.0004952,0.0004952,0.0004952
40,4327.76,0.56388,1.90815,0.06855,0.47186,0.84589,0.31595,0.53295,0.30227,0.21328,0.21696,0.25723,0.12212,0.05336,1.43262,6.49352,0.03441,2.93937,1.28612,0.0004556,0.0004556,0.0004556
41,4391.42,0.55195,1.75578,0.04293,0.4787,0.84353,0.38034,0.45559,0.33849,0.23258,0.23817,0.25501,0.13254,0.04944,1.41962,6.5234,0.02348,2.81916,1.33296,0.000416,0.000416,0.000416
42,4438.24,0.53015,1.68055,0.04241,0.46117,0.83826,0.33081,0.62464,0.37215,0.2597,0.26803,0.2808,0.15169,0.05772,1.406,6.37995,0.04238,2.71243,1.2953,0.0003764,0.0003764,0.0003764
43,4483.72,0.52733,1.59554,0.03623,0.44397,0.83676,0.41158,0.35817,0.35611,0.26692,0.31554,0.24928,0.19877,0.0883,1.41646,6.05404,0.04191,2.9747,1.23436,0.0003368,0.0003368,0.0003368
44,4527.16,0.5148,1.59273,0.03963,0.43459,0.83625,0.30837,0.52722,0.35083,0.26552,0.28511,0.26361,0.18005,0.08243,1.37985,6.22567,0.03624,2.92015,1.23504,0.0002972,0.0002972,0.0002972
45,4571.07,0.5084,1.5962,0.03797,0.43394,0.8312,0.29414,0.47278,0.35645,0.2686,0.29915,0.25215,0.19054,0.07293,1.34875,6.32514,0.04814,2.89533,1.21106,0.0002576,0.0002576,0.0002576
46,4615.68,0.50654,1.52929,0.03468,0.42853,0.83569,0.31698,0.51862,0.3732,0.2833,0.32597,0.27507,0.20665,0.08558,1.40688,6.37188,0.03976,2.92828,1.26406,0.000218,0.000218,0.000218
47,4660.04,0.49057,1.51809,0.03714,0.41715,0.83129,0.44448,0.34159,0.34083,0.25612,0.34601,0.26074,0.19795,0.07688,1.37273,6.3616,0.04209,3.20294,1.22544,0.0001784,0.0001784,0.0001784
48,4704.53,0.48527,1.44842,0.03245,0.41237,0.82821,0.35453,0.54728,0.40211,0.299,0.33762,0.26074,0.18151,0.07377,1.36507,6.23532,0.03944,2.8113,1.25088,0.0001388,0.0001388,0.0001388
49,4750.51,0.48323,1.4796,0.03755,0.4094,0.82811,0.33215,0.5043,0.36794,0.27784,0.32332,0.26287,0.17286,0.06713,1.34458,6.19941,0.03934,3.01584,1.24077,9.92e-05,9.92e-05,9.92e-05
50,4795.69,0.47044,1.44325,0.03263,0.40233,0.82632,0.34255,0.54043,0.37487,0.2809,0.33889,0.2808,0.1849,0.07316,1.3896,6.28371,0.04367,3.0433,1.26317,5.96e-05,5.96e-05,5.96e-05
